popularity,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence
4,False,0.705,0.562,8,-3.378,0,0.0674,0.257,0.0,0.137,0.569
13,False,0.782,0.342,0,-15.203,1,0.0721,0.299,0.0237,0.103,0.345
30,False,0.494,0.404,0,-10.108,1,0.0299,0.847,0.0,0.122,0.386
33,False,0.472,0.702,9,-8.965,1,0.0981,0.82,4.25e-05,0.362,0.351
25,False,0.552,0.937,9,-6.738,0,0.0488,0.0232,0.00268,0.102,0.347
71,False,0.728,0.878,11,-6.926,0,0.0564,0.176,0.856,0.61,0.911
18,False,0.633,0.219,9,-11.805,0,0.0887,0.72,0.692,0.113,0.537
46,False,0.818,0.486,4,-7.006,0,0.394,0.0996,0.0,0.0437,0.637
67,False,0.674,0.413,2,-7.816,1,0.0274,0.836,1.95e-05,0.098,0.503
85,True,0.872,0.588,0,-6.276,1,0.0492,0.275,0.0,0.17,0.93
24,False,0.553,0.773,5,-6.446,1,0.0343,0.173,0.865,0.185,0.597
19,False,0.462,0.978,6,-4.089,0,0.0951,0.0569,0.42,0.168,0.33
44,True,0.651,0.579,5,-8.023,0,0.0379,0.00166,0.000397,0.0794,0.443
27,False,0.329,0.596,5,-11.17,1,0.0569,0.0179,0.00102,0.267,0.413
0,False,0.523,0.322,0,-8.957,1,0.0285,0.535,0.0,0.132,0.3
36,False,0.726,0.593,0,-7.138,0,0.0851,0.284,0.0,0.527,0.857
29,False,0.31,0.884,1,-4.088,1,0.0488,0.000301,0.0,0.177,0.314
41,False,0.636,0.538,2,-6.921,1,0.0324,0.00126,0.881,0.123,0.0388
43,False,0.537,0.761,2,-6.194,1,0.0741,0.543,0.0,0.472,0.705
66,False,0.515,0.663,7,-7.896,0,0.0328,0.179,0.668,0.494,0.0756
41,True,0.662,0.785,1,-10.159,0,0.203,0.614,0.0,0.106,0.797
67,False,0.592,0.961,4,-1.807,1,0.096,0.0423,0.0,0.0882,0.508
54,False,0.0,2.03e-05,6,-25.556,1,0.0,0.145,0.213,0.114,0.0
53,False,0.47,0.685,11,-6.896,1,0.0363,0.188,0.0,0.112,0.488
47,False,0.481,0.413,9,-8.688,1,0.0326,0.798,1.61e-05,0.0817,0.681
2,True,0.409,0.99,11,-2.084,1,0.115,0.02,0.0,0.513,0.962
57,False,0.763,0.457,10,-14.629,0,0.0539,0.796,0.414,0.108,0.0384
0,False,0.434,0.262,1,-12.874,1,0.0286,0.959,0.6,0.141,0.256
56,False,0.624,0.334,3,-11.89,1,0.0391,0.321,3.27e-06,0.113,0.397
57,False,0.627,0.652,5,-8.545,0,0.122,0.214,0.0,0.0767,0.487
58,False,0.753,0.809,6,-8.268,1,0.0637,0.317,0.0076,0.141,0.409
5,False,0.609,0.801,1,-8.483,0,0.0694,0.0246,0.00255,0.37,0.202
58,False,0.375,0.312,7,-10.656,0,0.031,0.85,0.00988,0.137,0.22
1,False,0.619,0.504,5,-11.562,1,0.025,0.0614,0.0,0.06,0.568
45,False,0.415,0.501,11,-7.232,1,0.0361,0.83,0.0,0.242,0.306
56,False,0.676,0.708,8,-12.115,0,0.0698,0.592,0.000307,0.166,0.919
45,False,0.624,0.68,9,-7.285,0,0.0421,0.114,6.78e-05,0.0614,0.117
23,False,0.593,0.865,4,-10.227,1,0.0378,0.719,2.29e-05,0.303,0.969
17,False,0.343,0.129,8,-14.82,1,0.042,0.988,0.174,0.141,0.0371
22,False,0.571,0.873,6,-11.995,0,0.0732,3.25e-05,0.74,0.373,0.0894
68,False,0.745,0.561,9,-5.513,0,0.072,0.465,1.12e-06,0.0338,0.902
27,False,0.56,0.903,11,-4.77,1,0.0754,0.00132,0.0,0.291,0.581
10,False,0.562,0.343,1,-20.924,1,0.0419,0.508,0.89,0.16,0.254
3,False,0.768,0.767,5,-8.06,0,0.0358,0.194,0.0,0.121,0.457
51,True,0.605,0.327,6,-7.659,1,0.037,0.866,0.0,0.125,0.608
26,False,0.713,0.639,10,-5.769,1,0.05,0.423,0.0,0.129,0.944
21,False,0.668,0.374,7,-8.232,1,0.0288,0.788,0.0,0.29,0.669
24,True,0.705,0.555,2,-7.811,1,0.941,0.653,0.0,0.649,0.661
38,False,0.657,0.829,2,-5.596,0,0.0673,0.276,0.0,0.207,0.569
77,False,0.707,0.535,10,-19.793,0,0.0436,0.113,0.00615,0.0884,0.641
19,False,0.495,0.137,5,-17.15,1,0.0468,0.968,0.946,0.109,0.271
48,False,0.496,0.727,1,-4.378,0,0.0427,0.237,0.0,0.422,0.501
58,False,0.82,0.816,5,-6.29,0,0.077,0.0216,7.81e-05,0.0541,0.861
63,False,0.735,0.593,11,-7.473,1,0.0885,0.731,0.178,0.135,0.475
58,False,0.158,0.572,7,-6.293,0,0.0346,0.000926,0.893,0.144,0.347
36,False,0.413,0.509,1,-8.439,1,0.0292,0.326,0.0,0.116,0.222
36,False,0.663,0.733,9,-5.09,1,0.0298,0.00878,9.01e-06,0.108,0.741
35,True,0.631,0.8,9,-4.179,1,0.101,0.107,0.0,0.373,0.782
38,False,0.645,0.3,5,-10.282,1,0.0362,0.815,0.0,0.115,0.214
39,False,0.81,0.542,11,-7.146,0,0.415,0.102,0.0,0.113,0.376
26,False,0.842,0.867,7,-6.886,1,0.364,0.00892,0.74,0.256,0.587
51,False,0.563,0.836,1,-3.901,0,0.0903,0.108,0.0,0.243,0.657
25,False,0.542,0.875,7,-4.285,1,0.0507,0.000356,0.31,0.359,0.114
21,False,0.914,0.723,2,-6.193,1,0.138,0.196,0.0,0.216,0.335
1,False,0.504,0.51,7,-10.79,1,0.0415,0.771,7.61e-05,0.0766,0.0834
55,False,0.439,0.915,2,-7.078,0,0.0745,0.000184,0.000899,0.326,0.34
34,False,0.741,0.519,0,-11.103,1,0.0259,0.215,0.00205,0.319,0.899
45,False,0.528,0.427,4,-12.304,1,0.0548,0.27,2.18e-05,0.105,0.307
0,False,0.254,0.104,5,-19.932,1,0.0524,0.986,0.716,0.152,0.0378
51,False,0.458,0.981,1,-1.65,1,0.0518,0.0573,0.0363,0.172,0.143
47,False,0.634,0.859,2,-5.832,1,0.0567,0.539,3.2e-05,0.693,0.64
8,False,0.656,0.678,3,-5.615,1,0.365,0.532,0.0,0.0308,0.718
28,False,0.509,0.475,5,-8.994,0,0.0382,0.506,0.00383,0.168,0.173
0,False,0.416,0.964,9,-2.967,1,0.112,2.35e-05,0.000875,0.473,0.212
35,True,0.64,0.459,2,-8.439,1,0.25,0.448,5.75e-05,0.107,0.14
17,True,0.193,0.995,3,-4.893,1,0.18,4.29e-06,0.0737,0.0486,0.0743
1,False,0.213,0.159,7,-13.897,1,0.0366,0.715,0.914,0.101,0.0373
12,False,0.61,0.287,5,-9.551,1,0.0281,0.676,0.0,0.134,0.701
51,False,0.67,0.507,11,-6.551,1,0.0316,0.699,0.0,0.161,0.258
62,False,0.365,0.887,0,-4.579,1,0.0417,0.00272,2.18e-05,0.0923,0.916
0,False,0.637,0.705,10,-7.546,0,0.0502,0.121,0.0,0.0857,0.553
49,False,0.46,0.521,4,-8.022,1,0.0274,0.65,0.0,0.256,0.599
51,False,0.669,0.671,6,-8.135,1,0.0276,0.448,0.0,0.472,0.753
45,False,0.682,0.462,11,-11.505,0,0.0388,0.913,0.212,0.107,0.529
76,True,0.745,0.801,3,-6.545,0,0.724,0.439,1.13e-06,0.519,0.486
16,False,0.548,0.999,0,-4.937,1,0.0947,0.0501,0.0128,0.978,0.0878
0,False,0.673,0.712,11,-7.858,0,0.0273,0.159,0.0,0.183,0.912
38,False,0.508,0.299,0,-7.457,0,0.0261,0.502,0.0,0.112,0.137
59,False,0.815,0.421,0,-8.125,1,0.0352,0.491,4.41e-06,0.117,0.543
0,False,0.816,0.596,9,-11.15,1,0.451,0.76,0.891,0.348,0.756
66,False,0.888,0.876,8,-4.249,1,0.0425,0.61,3.25e-05,0.375,0.992
22,False,0.519,0.535,3,-14.284,0,0.935,0.764,0.0,0.706,0.474
37,False,0.442,0.447,1,-7.557,0,0.0278,0.456,0.0,0.975,0.165
12,False,0.221,0.992,10,-4.898,0,0.151,3.49e-06,0.207,0.304,0.117
0,False,0.55,0.548,5,-11.171,0,0.0719,0.258,4.12e-05,0.36,0.819
16,False,0.751,0.991,11,-5.468,0,0.0723,0.00101,0.179,0.357,0.849
2,False,0.718,0.891,9,-3.494,0,0.0404,0.00175,0.0146,0.138,0.828
51,False,0.544,0.738,6,-4.944,1,0.106,0.368,0.0,0.0993,0.41
64,False,0.831,0.777,11,-4.456,0,0.174,0.356,0.0,0.0796,0.598
0,False,0.304,0.89,9,-3.992,0,0.122,0.00143,0.00113,0.104,0.433
21,False,0.622,0.906,9,-6.987,1,0.258,0.024,0.0133,0.342,0.0615
0,False,0.689,0.546,5,-9.254,1,0.0673,0.000464,0.000896,0.239,0.966
1,False,0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,0.825
31,False,0.521,0.686,5,-8.002,0,0.291,0.0141,0.0,0.0846,0.624
41,False,0.66,0.606,0,-11.409,0,0.0266,0.557,0.00547,0.0987,0.77
30,False,0.605,0.238,0,-12.352,1,0.16,0.948,0.92,0.111,0.656
50,True,0.254,0.98,0,-4.348,1,0.138,0.00014,0.0659,0.306,0.0399
26,False,0.46,0.882,1,-4.91,1,0.0641,0.00203,0.0103,0.0996,0.658
9,False,0.804,0.947,2,-8.071,1,0.0488,0.00984,0.889,0.0647,0.666
0,False,0.258,0.904,0,-5.625,1,0.0386,2.2e-05,0.218,0.255,0.832
29,False,0.66,0.917,7,-6.56,1,0.215,0.068,0.000216,0.683,0.74
63,True,0.508,0.891,4,-7.492,0,0.0539,0.000381,0.0,0.403,0.572
0,False,0.371,0.601,9,-8.431,1,0.0277,0.137,5.53e-05,0.15,0.596
48,False,0.619,0.484,1,-8.715,1,0.0572,0.116,0.000121,0.19,0.61
0,False,0.508,0.47,0,-9.339,1,0.0262,0.201,0.0553,0.14,0.69
31,False,0.329,0.166,4,-10.467,1,0.0381,0.918,0.000221,0.257,0.159
64,False,0.468,0.655,4,-6.384,1,0.0296,0.0149,0.0,0.104,0.222
56,False,0.652,0.546,11,-6.497,1,0.0264,0.666,2.28e-06,0.112,0.264
41,True,0.677,0.573,10,-7.982,0,0.047,0.317,0.0,0.291,0.282
71,False,0.672,0.623,9,-5.699,1,0.0297,0.241,0.0,0.0848,0.617
12,False,0.698,0.583,4,-11.091,0,0.105,0.00189,0.775,0.308,0.408
39,False,0.494,0.443,4,-9.212,1,0.0274,0.674,6.59e-05,0.102,0.191
21,False,0.444,0.545,0,-6.574,1,0.0284,0.0391,0.000356,0.184,0.382
35,False,0.341,0.212,7,-12.131,1,0.0312,0.897,0.00124,0.147,0.268
81,False,0.468,0.779,9,-4.839,1,0.0779,0.112,0.000373,0.101,0.26
46,False,0.493,0.587,7,-4.743,0,0.0603,0.791,0.0,0.0919,0.456
37,False,0.87,0.737,11,-8.372,1,0.126,0.268,0.00369,0.0504,0.952
58,False,0.619,0.712,4,-6.893,0,0.0328,0.103,0.0,0.24,0.35
49,True,0.258,0.997,7,-3.808,1,0.245,0.000225,0.565,0.096,0.245
31,False,0.753,0.958,11,-4.088,0,0.0504,0.0449,0.0,0.383,0.964
80,False,0.685,0.886,0,-4.179,1,0.034,0.028,0.0,0.481,0.615
41,False,0.467,0.644,6,-4.792,0,0.0382,0.182,0.0,0.0945,0.308
0,True,0.863,0.666,1,-4.158,0,0.152,0.212,0.000493,0.103,0.838
82,False,0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13
58,False,0.495,0.729,6,-6.453,0,0.103,0.6,4.13e-05,0.0993,0.683
73,False,0.459,0.878,5,-1.399,0,0.0688,5.62e-05,0.000307,0.371,0.494
38,False,0.624,0.499,7,-7.631,1,0.0276,0.179,0.0,0.17,0.305
16,False,0.753,0.728,10,-6.071,0,0.0563,0.0159,0.0652,0.107,0.59
19,False,0.329,0.954,4,-1.737,1,0.0706,0.00316,0.338,0.52,0.589
70,False,0.544,0.579,8,-8.52,1,0.0712,0.193,1.43e-05,0.117,0.294
18,False,0.668,0.859,6,-5.947,1,0.0367,0.0351,0.569,0.248,0.802
51,True,0.6,0.982,4,-2.996,0,0.201,0.104,0.0,0.343,0.277
70,False,0.714,0.697,1,-7.887,0,0.032,0.0197,2e-06,0.0697,0.602
27,False,0.811,0.556,5,-7.399,0,0.0741,0.291,0.898,0.11,0.745
45,False,0.751,0.414,5,-11.214,0,0.0406,0.145,0.000123,0.0841,0.401
3,False,0.748,0.841,7,-5.08,1,0.177,0.00445,1.33e-06,0.0413,0.717
48,False,0.561,0.925,1,-5.77,1,0.0566,0.000184,0.0119,0.606,0.614
12,False,0.779,0.324,2,-12.326,1,0.0517,0.892,0.0,0.082,0.963
65,True,0.589,0.797,9,-5.464,1,0.15,0.0289,4.35e-06,0.383,0.232
38,False,0.638,0.893,9,-4.857,1,0.076,0.0398,0.0,0.0801,0.567
22,False,0.47,0.591,9,-6.042,1,0.0809,0.788,1.26e-05,0.21,0.651
25,False,0.61,0.151,11,-14.883,1,0.115,0.863,0.0,0.104,0.666
57,False,0.745,0.549,7,-5.137,1,0.203,0.337,0.0,0.152,0.788
37,False,0.406,0.966,2,-3.515,0,0.0768,0.00113,0.0,0.0714,0.497
69,False,0.697,0.438,8,-8.411,1,0.0289,0.397,0.0,0.293,0.58
68,True,0.778,0.738,2,-2.164,1,0.218,0.0103,0.0,0.55,0.626
20,False,0.148,0.32,2,-11.921,0,0.0386,0.804,0.00283,0.304,0.106
49,False,0.597,0.913,0,-6.246,1,0.103,0.038,0.0,0.288,0.694
0,False,0.602,0.553,11,-9.336,1,0.0328,0.108,0.0,0.0512,0.971
51,False,0.335,0.865,11,-4.672,0,0.0944,0.0027,0.276,0.107,0.411
38,False,0.65,0.903,7,-5.27,0,0.0348,0.663,0.0,0.988,0.869
1,False,0.237,0.38,2,-14.322,1,0.0358,0.599,0.875,0.174,0.0464
11,False,0.346,0.999,0,-4.912,1,0.184,0.00225,0.00983,0.306,0.0375
16,True,0.286,0.995,9,-3.143,1,0.178,5.44e-05,0.049,0.162,0.169
12,False,0.496,0.193,10,-14.424,1,0.0292,0.817,0.0,0.189,0.51
37,False,0.478,0.684,4,-9.205,1,0.0371,0.285,1.72e-05,0.288,0.286
18,False,0.359,0.917,4,-5.394,1,0.063,4.58e-06,0.874,0.333,0.483
31,False,0.801,0.583,1,-6.7,0,0.0535,0.00921,0.00711,0.17,0.666
0,True,0.888,0.622,1,-3.875,1,0.213,0.16,0.0,0.101,0.664
0,False,0.476,0.526,9,-7.985,1,0.051,0.0737,2.99e-06,0.189,0.122
13,False,0.825,0.828,1,-9.284,0,0.0381,0.0567,0.0323,0.195,0.939
57,False,0.304,0.0463,4,-25.773,0,0.0353,0.879,0.803,0.0923,0.0392
30,False,0.214,0.976,0,-4.772,0,0.0566,1.72e-05,0.0019,0.107,0.336
40,False,0.683,0.911,5,-3.332,0,0.0665,0.162,0.0,0.0726,0.879
77,False,0.829,0.886,8,-1.746,1,0.112,0.259,0.0,0.0559,0.777
0,True,0.795,0.694,1,-5.053,1,0.0595,0.0183,0.000186,0.115,0.327
29,False,0.521,0.526,7,-6.87,0,0.0349,0.552,0.00156,0.198,0.577
72,False,0.761,0.554,1,-8.119,0,0.0854,0.193,0.00844,0.0802,0.555
27,False,0.743,0.543,6,-7.983,1,0.111,0.1,0.0,0.246,0.499
70,False,0.735,0.839,10,-4.263,0,0.0381,0.129,0.0,0.41,0.609
42,False,0.8,0.64,5,-6.648,1,0.0387,0.415,0.0,0.119,0.56
11,False,0.611,0.436,1,-14.365,0,0.0313,0.469,0.965,0.232,0.204
0,False,0.424,0.0189,7,-26.86,0,0.115,0.967,0.895,0.133,0.167
0,False,0.23,0.994,8,-2.167,1,0.396,4.13e-05,0.000325,0.0662,0.325
44,False,0.574,0.689,2,-4.824,1,0.0746,0.189,0.0,0.301,0.617
26,False,0.806,0.491,9,-8.013,0,0.0474,0.00795,0.653,0.0885,0.143
38,False,0.509,0.97,4,-6.732,1,0.0697,0.00951,0.000234,0.0459,0.665
25,False,0.764,0.62,2,-6.778,1,0.341,0.511,0.0,0.109,0.36
20,False,0.661,0.309,0,-10.558,1,0.0272,0.793,1.55e-06,0.106,0.34
70,False,0.548,0.483,4,-9.102,1,0.0268,0.515,0.0674,0.0922,0.166
29,False,0.727,0.816,5,-6.912,0,0.0369,0.000577,0.00207,0.309,0.883
0,False,0.831,0.542,10,-6.652,0,0.169,0.234,0.0,0.261,0.493
0,True,0.845,0.723,11,-5.18,1,0.263,0.0112,0.0,0.107,0.667
15,False,0.535,0.564,2,-7.224,1,0.0394,0.361,0.0,0.119,0.278
0,False,0.688,0.639,5,-10.068,1,0.0425,0.47,0.655,0.117,0.602
26,False,0.507,0.195,5,-16.514,1,0.0756,0.874,0.92,0.111,0.0709
39,False,0.509,0.778,11,-3.608,1,0.0295,0.00998,0.0,0.19,0.216
17,False,0.584,0.77,11,-3.514,0,0.0644,0.0113,3.39e-05,0.418,0.411
76,False,0.715,0.605,0,-5.128,0,0.0428,0.239,1.41e-05,0.189,0.454
19,False,0.48,0.101,0,-11.186,1,0.0516,0.949,1.24e-05,0.109,0.345
66,False,0.663,0.71,11,-5.55,0,0.0599,0.00745,0.00559,0.147,0.487
0,False,0.524,0.487,6,-7.525,0,0.0299,0.253,0.0,0.0579,0.482
0,False,0.258,0.904,0,-5.625,1,0.0386,2.2e-05,0.218,0.255,0.832
45,False,0.656,0.397,2,-11.936,1,0.0704,0.676,0.924,0.0982,0.663
52,False,0.471,0.8,11,-6.624,0,0.0708,0.599,0.0,0.975,0.643
18,False,0.56,0.447,9,-5.644,1,0.0401,0.882,7.7e-06,0.272,0.725
14,False,0.624,0.264,9,-16.31,1,0.0354,0.839,0.000508,0.0771,0.779
66,True,0.765,0.906,8,-2.097,0,0.0965,0.125,0.0,0.423,0.95
24,False,0.607,0.331,5,-11.481,0,0.035,0.692,0.0,0.116,0.274
20,False,0.32,0.948,0,-3.909,0,0.117,0.000285,3.4e-05,0.0621,0.359
39,False,0.419,0.71,3,-8.115,1,0.0654,0.101,0.0,0.0902,0.853
12,False,0.627,0.78,8,-5.429,1,0.0518,0.00142,0.0308,0.0989,0.297
40,False,0.688,0.937,2,-4.438,0,0.0464,0.507,0.00113,0.138,0.805
43,False,0.244,0.684,10,-7.798,1,0.0384,0.0188,0.000585,0.239,0.135
13,False,0.235,0.969,8,-2.662,1,0.0655,1.76e-06,0.586,0.22,0.0657
59,False,0.89,0.672,7,-5.532,1,0.0621,0.707,0.000604,0.177,0.598
42,False,0.5,0.841,0,-6.456,1,0.163,0.805,0.0,0.641,0.911
62,False,0.412,0.61,10,-7.988,1,0.0379,0.177,0.000102,0.0851,0.242
24,False,0.623,0.346,0,-15.099,1,0.0344,0.824,0.0504,0.0564,0.148
46,False,0.456,0.935,5,-3.03,0,0.0324,0.028,0.776,0.741,0.387
1,False,0.223,0.91,7,-7.097,1,0.08,0.0116,0.000518,0.212,0.364
17,False,0.382,0.907,4,-5.322,1,0.16,0.0652,7.01e-06,0.115,0.216
55,True,0.709,0.604,4,-9.048,0,0.405,0.623,0.0,0.547,0.584
23,True,0.692,0.339,10,-19.111,1,0.959,0.831,0.0,0.697,0.575
19,False,0.52,0.901,5,-3.295,1,0.0641,0.035,0.0,0.163,0.886
52,False,0.437,0.417,8,-7.749,1,0.0285,0.724,3.58e-06,0.1,0.427
1,True,0.845,0.723,11,-5.18,1,0.263,0.0112,0.0,0.107,0.667
41,False,0.319,0.865,2,-3.7,1,0.107,0.19,0.699,0.0823,0.164
0,False,0.881,0.592,2,-4.898,1,0.0324,0.619,1.32e-05,0.0901,0.719
51,True,0.834,0.517,7,-9.095,1,0.0603,0.77,0.0,0.0873,0.147
23,False,0.798,0.786,11,-14.631,0,0.0545,0.0168,0.293,0.216,0.38
1,False,0.736,0.74,10,-6.662,0,0.0912,0.0174,0.0,0.0481,0.737
66,False,0.592,0.911,9,-7.975,1,0.0659,0.00608,0.0123,0.223,0.211
43,False,0.369,0.359,9,-9.284,1,0.0317,0.845,0.0,0.844,0.193
13,False,0.371,0.203,8,-14.63,1,0.0366,0.928,0.000351,0.325,0.264
34,False,0.337,0.857,2,-7.037,1,0.0662,0.188,3.22e-05,0.626,0.96
19,False,0.201,0.824,11,-13.332,0,0.0776,2.43e-05,0.00159,0.0991,0.0648
26,False,0.351,0.109,7,-11.997,0,0.0435,0.879,0.0,0.158,0.64
77,False,0.521,0.895,7,-5.242,1,0.0442,5.54e-05,0.349,0.0985,0.237
62,False,0.474,0.895,2,-4.443,0,0.0628,0.000254,0.000177,0.088,0.399
0,False,0.745,0.812,0,-5.77,1,0.0254,0.0954,0.0,0.0473,0.968
0,False,0.783,0.84,1,-3.416,1,0.051,0.174,0.0,0.412,0.838
36,False,0.814,0.66,3,-4.099,0,0.0339,0.257,0.0,0.144,0.967
63,False,0.709,0.871,5,-4.126,0,0.175,0.134,0.0,0.316,0.667
18,False,0.317,0.327,9,-13.577,0,0.038,0.921,0.594,0.671,0.503
22,False,0.484,0.936,6,-9.4,0,0.0504,2.23e-05,0.823,0.291,0.152
37,False,0.573,0.697,2,-3.988,1,0.0355,0.0127,0.0,0.102,0.647
49,False,0.354,0.076,9,-22.115,0,0.0545,0.982,0.839,0.149,0.0984
46,False,0.582,0.467,5,-7.674,1,0.0367,0.183,0.0,0.0931,0.486
42,False,0.551,0.478,10,-10.58,0,0.0378,0.526,0.0,0.288,0.523
17,False,0.432,0.526,4,-12.49,0,0.0612,0.0513,0.000105,0.0887,0.251
1,False,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562
20,False,0.621,0.787,0,-8.819,1,0.0384,0.175,0.186,0.179,0.73
64,False,0.846,0.573,6,-6.005,0,0.0633,0.0437,0.0,0.0856,0.553
49,False,0.653,0.401,5,-12.029,1,0.0279,0.893,0.143,0.109,0.311
26,False,0.446,0.862,5,-2.347,1,0.042,0.0319,0.0,0.284,0.512
37,False,0.702,0.829,4,-5.52,1,0.0297,0.00145,0.0,0.328,0.895
0,True,0.799,0.847,5,-7.808,1,0.0956,0.254,2.14e-05,0.339,0.529
8,False,0.615,0.896,11,-13.426,0,0.0542,0.014,0.888,0.148,0.36
0,False,0.588,0.847,8,-4.164,1,0.0705,0.0601,0.0,0.307,0.662
0,False,0.756,0.646,7,-5.795,1,0.319,0.152,1.81e-05,0.108,0.429
60,False,0.478,0.848,1,-3.85,0,0.0431,0.0934,0.0,0.0925,0.48
73,True,0.854,0.682,7,-5.212,1,0.053,0.335,0.000926,0.0569,0.507
33,False,0.877,0.773,7,-3.118,1,0.0352,0.154,0.000414,0.0889,0.796
47,False,0.459,0.399,6,-9.954,1,0.0339,0.433,0.0,0.682,0.374
62,False,0.519,0.666,10,-6.163,1,0.0262,0.553,0.000169,0.0948,0.461
22,False,0.264,0.13,1,-15.167,0,0.0437,0.891,0.0,0.105,0.0899
43,False,0.219,0.771,11,-5.047,1,0.0544,0.115,0.0,0.113,0.272
20,False,0.224,0.0651,7,-22.713,1,0.0469,0.521,0.599,0.188,0.0936
27,False,0.413,0.688,2,-8.694,1,0.035,0.0215,0.000201,0.973,0.269
0,False,0.87,0.572,3,-4.671,1,0.0388,0.687,0.0,0.091,0.697
42,False,0.606,0.31,3,-11.111,1,0.0289,0.936,0.000213,0.281,0.22
53,False,0.584,0.827,9,-5.717,0,0.245,0.22,0.0,0.863,0.454
57,False,0.589,0.296,0,-9.335,1,0.083,0.842,0.0,0.0736,0.611
0,False,0.582,0.705,3,-8.169,1,0.0539,0.29,1.38e-06,0.797,0.64
24,False,0.113,0.478,3,-10.158,1,0.0381,0.814,3.83e-06,0.661,0.178
18,False,0.623,0.45,3,-8.347,1,0.0974,0.924,0.0,0.104,0.892
65,False,0.643,0.906,1,-4.15,1,0.31,0.105,0.0,0.861,0.541
17,False,0.527,0.899,8,-8.211,1,0.107,0.000165,0.734,0.415,0.454
27,False,0.457,0.841,10,-4.252,1,0.0354,0.000791,0.00113,0.399,0.613
72,False,0.766,0.788,6,-3.128,0,0.312,0.105,5.81e-06,0.142,0.609
27,False,0.842,0.811,2,-6.476,1,0.109,0.00579,0.176,0.0702,0.594
52,False,0.357,0.837,0,-4.083,1,0.0458,0.0213,8.63e-06,0.298,0.0395
0,False,0.112,0.978,4,-2.64,1,0.117,0.000108,0.0241,0.117,0.371
1,False,0.494,0.796,7,-3.965,0,0.0324,0.0197,0.000178,0.309,0.447
